idx,modelA,modelB,result
14,skywork-o1,openai_o1,0
14,openai_o1,marco-o1,0
14,openai_o1,qwq_preview,2
14,skywork-o1,marco-o1,2
14,skywork-o1,qwq_preview,2
14,qwq_preview,marco-o1,2
14,openai_o1,openO1,2
14,qwq_preview,openO1,0
15,skywork-o1,marco-o1,2
15,openai_o1,openO1,2
15,skywork-o1,qwq_preview,2
15,skywork-o1,openO1,2
15,qwq_preview,marco-o1,2
15,skywork-o1,openai_o1,2
15,marco-o1,openO1,2
15,openai_o1,qwq_preview,2
15,openai_o1,marco-o1,2
15,qwq_preview,openO1,0
16,openai_o1,openO1,2
16,skywork-o1,marco-o1,2
16,skywork-o1,openai_o1,2
16,qwq_preview,marco-o1,1
16,qwq_preview,openO1,2
16,openai_o1,qwq_preview,2
16,skywork-o1,openO1,2
16,skywork-o1,qwq_preview,2
16,openai_o1,marco-o1,2
16,marco-o1,openO1,0
17,qwq_preview,marco-o1,0
17,skywork-o1,marco-o1,2
17,openai_o1,marco-o1,0
17,skywork-o1,openO1,2
17,openai_o1,qwq_preview,0
17,skywork-o1,openai_o1,2
17,marco-o1,openO1,2
17,qwq_preview,openO1,2
17,openai_o1,openO1,2
17,skywork-o1,qwq_preview,2
18,qwq_preview,marco-o1,0
18,marco-o1,openO1,0
18,skywork-o1,openai_o1,2
18,openai_o1,qwq_preview,2
18,skywork-o1,marco-o1,2
18,skywork-o1,qwq_preview,2
18,openai_o1,openO1,2
18,openai_o1,marco-o1,2
18,qwq_preview,openO1,0
18,skywork-o1,openO1,2
19,skywork-o1,qwq_preview,2
19,qwq_preview,marco-o1,0
19,marco-o1,openO1,0
19,openai_o1,openO1,0
19,qwq_preview,openO1,2
19,openai_o1,qwq_preview,0
19,skywork-o1,openO1,2
19,skywork-o1,openai_o1,2
19,skywork-o1,marco-o1,2
19,openai_o1,marco-o1,2
